,activite,code_ape
396,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
397,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
398,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
399,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
400,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
401,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
402,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
403,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les Dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
404,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
405,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
406,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
407,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
408,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
409,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
410,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
411,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
412,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
413,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
414,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
415,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
416,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
417,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
418,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
419,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
420,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
421,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
422,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
423,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
424,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
425,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
426,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
427,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
428,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
429,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
430,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
431,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
432,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
433,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
434,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
435,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
436,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
437,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
438,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
439,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
440,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
441,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
442,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
443,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
444,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z
445,"Entreprise générale de bâtiment isolation thermique et phonique, installation de panneaux Photovoltaïque, nettoyage industriel et la fourniture et la vente de tous produits et matériels non réglementés.",41.20A
446,non renseigné,70.10Z
447,"Entreprise générale de bâtiment isolation thermique et phonique, installation de panneaux Photovoltaïque, nettoyage industriel et la fourniture et la vente de tous produits et matériels non réglementés.",41.20A
448,"Exercice de la profession d'économiste de la construction et de coordonnateur Opc (ordonnancement, pilotage, coordination de chantier).",74.90A
449,"Dans le secteur médical et paramédical l'assistance, l'analyse et le conseil à maîtrise d'ouvrage, le pilotage, la régie et la coordination de chantiers ou évènements tant nationaux Qu'internationaux, la mise en relation d'acteurs économiques, la réalisation d'études et d'appels d'offres complets, la gestion des risques sécuritaires, la management de projets et de programmes pour des entreprises ou des organismes et collectivités publics.",71.12B
450,"Fournisseur de services de création et de conception spécialisés aux entreprises de conseil, de redressement d'insolvabilité, de restructuration, de capital-investissement et de taille intermédiaire",70.10Z
451,"Ingénierie culturelle, conception, production, diffusion de projets culturels et éducatifs, et de créations artistiques. Gestion, exploitation de tiers-lieux culturels. Organisation d'événements. Design de services. Conseil en stratégie de gestion, assistance opérationnelle d'entités culturelles, éducatives, touristiques et de loisirs. Élaboration de plans et programmes de formation.",74.90B
452,"Acquisition par tous moyens de droits et biens immobiliers, l'administration, la gestion et l'exploitation par tous moyens des immeubles ou encore la mise à disposition au profit des associés conformément à l'article 15-Ii du Cgi. Éventuellement et exceptionnellement l'aliénation du ou des immeubles devenus inutiles à la société.",68.20B
453,Exercice de la profession d'avocat et toutes activités commerciales connexes,69.10Z
454,"Confection homme, femme, enfant en prêt à porter sous Traitance.",14.13Z
455,La mise à disposition et la gestion de flottes et/ou lignes téléphoniques à destination des entreprises.,61.90Z
456,Acquisition d'immeubles bâtis ou non bâtis. Gestion - mise en location - aliénation et toutes opérations financières.,68.20B
457,"Acquisition, construction, transformation, aménagement, détention, mise en valeur, administration, exploitation et gestion par location ou autrement, mise à disposition gratuite au profit des associés, de tout bien ou droit immobilier",68.20B
458,"Etude, conseil, conception, audit et développement de projets informatiques, d'applications informatiques, de systèmes d'informations, de sites Web et site E-commerce ; Hébergement, maintenance et gestion de ces applications et de leurs données - y compris leur collecte et leur traitement ; recherche, développement et innovation ; formation, professionnelle notamment.",62.01Z
459,La réalisation en France et à l'étranger directement ou indirectement de toutes opérations événementielles et/ou de prestations de services en vue de la promotion et de l'exploitation des zones polaires.,82.30Z
460,Avocat.,69.10Z
461,"Distribution, vente au gros et au détail d'habillement et accessoires ; vente en gros et au détail d'articles de décoration.",47.71Z
462,"L'acquisition, la construction et la cession, sous toutes ses formes, de tous biens et droits immobiliers urbains ou ruraux, à usage d'habitation, professionnel, commercial, artisanal et industriel.",68.20B
463,"En France et à l'étranger, le développement de projets de centrales de production de combustibles gazeux, la production de combustibles gazeux ainsi que la production et la revente d'électricité, de gaz, de chaleur, de Digestats et compost",35.21Z
464,"L'acquisition de tous droits ou biens immobiliers, la propriété, l'administration, la gestion et l'exploitation directe et indirecte, par bail, location ou autrement Desdits biens immeubles et de tous autres immeubles bâtis ou non dont la société pourrait devenir locataire ou propriétaire ultérieurement, exceptionnellement l'aliénation Desdits biens, l'obtention de toute ouverture de crédit, facilité de caisse et emprunt, avec ou sans garantie et la constitution de toute sûreté à cet effet.",68.20B
465,La recherche et l'analyse des marchés financiers pour le compte d'autres sociétés appartenant au même groupe que la Société; la mise en œuvre Desdites recherches et analyses pour le compte d'autres sociétés appartenant au même groupe que la Société.,66.19B
466,"Peinture, ravalement, rénovation, électricité, plomberie, menuiserie et petite maçonnerie.",43.34Z
467,"En France et à l'étranger, activité de holding. La recherche, le développement, l'accompagnement en recherche et développement, la sous Traitance technique. Toutes opérations d'assistance à la gestion de la trésorerie auprès des sociétés filiales. L'octroi de toutes cautions ou garanties au profit de toute société de son groupe ou dans le cadre de l'activité normale de toutes sociétés de son groupe. La gestion et la valorisation des marques.",72.19Z
468,L'édition et la commercialisation de logiciels utilisés à des fins professionnelles ou personnelles installés sur des serveurs locaux et distants.,58.29C
469,"L'acquisition, la construction, la propriété, la gestion, l'administration, l'entretien, l'exploitation par bail location ou autrement, ainsi que la mise à disposition à titre gratuit au profit des associés, de tous immeubles et droits immobiliers et notamment la gestion, des biens et droits immobiliers éventuellement acquis ou apportés.",68.20B
470,"Consultant image, Consultant Branding, chef de projet, direction de clientèle, Account manager, gestion commerciale, stratégie marketing et commerciale, communication, Content manager, Creative manager, direction artistique, gestion financière, gestion clientèle, développement commercial et créatif, prospection, décoration, architecture d'intérieur, achat de mobilier et décoration, Sourcing artistique, gestion mécénat et gestion d'artiste,chef de groupe publicité et activités complémentaires",70.22Z
471,"Promotion immobilière, activité de marchands de biens, achat-revente, gestion et exploitation de tous immeubles, actions ou parts de sociétés immobilières ou à prépondérance immobilière Prestations de services en matière de montage de projets, d'aménagements et agencements de locaux commerciaux et notamment hôteliers, assistance à la maîtrise d'ouvrage; Les activités d'agence immobilière en matière de transactions immobilières pour le compte de tiers dont notamment l'achat, la vente, l'échange.",68.10Z
472,"L'exercice de la profession de European Patent Attorney, European Trade Mark Attorney, European Design Attorney, Patentanwalt allemand, Chartered Patent Attorney britannique et Chartered Trade Mark Attorney britannique conformément à la règlementation applicable; offrir tous services en relation avec des brevets, modèles, droits d'auteur, marques, modèles non enregistrés, certificats d'utilité, noms de domaine, obtentions végétales et autres ou les titres étrangers correspondants et des actions ou droits résultant de la possession d'un fonds de commerce, d'information confidentielle, d'un savoir-faire ou d'éléments y relatifs.",69.10Z
473,Le commerce de montres sur Internet; Le commerce de marchandises non réglementées sur Internet; Prestations de services en ligne (Coaching marketing en ligne).,47.91B
474,"Production, édition et distribution musicale sonore et audiovisuelle, management d'artiste, audit, Consulting ainsi que la vente, l'exploitation, la location et la Distibution de tous produits et matériels de toutes sortes non réglementés et toutes prestations de services, conseils et activités non réglementés dans les domaines de l'évenementiel, vente par tous moyens dont internet.",59.20Z
475,Service à la personne dont garde d'enfants de + de 3 ans et entretien du domicile,88.91A
476,Achat-revente de produits de beauté.,47.75Z
477,"La distribution de produits pharmaceutiques, de soins, de bien être, de matériel médical et para-médical",47.73Z
478,"L'acquisition de tous terrains ou droits immobiliers en vue de procéder à la construction de tous immeubles de toutes destinations ou usages, suivie de la vente en totalité ou par fractions des immeubles construits. L'acquisition de biens immobiliers bâtis en vue de leur restructuration, rénovation, suivie de la vente Desdits immeubles. L'achat pour revendre de tous immeubles de toutes destinations ou usages ou de parts ou actions de sociétés immobilières",41.10D
479,Transports public routiers de voyageurs.,70.10Z
480,"Acquisition, Administration et mise à disposition à titre gratuit de biens et droits immobiliers.",68.32B
481,Commerce de matière consommable non réglementée,APE Non Diffusable
482,"Salon de beauté, salon de tresse et tissage, pose perruque, vente de produits cosmétiques et d'accessoires de mode d'origine africaine",96.02B
483,"L'acquisition, l'administration et la gestion par location ou autrement de tous immeubles et biens immobiliers. Toutes opérations financières mobilières et immobilières se rattachant directement ou indirectement à cet objet et susceptibles d'en favoriser la réalisation",68.20B
484,"L'acquisition, l'exploitation, la mise en valeur, l'équipement, la conservation, la gestion, la location de tous biens et droits immobiliers et toutes opérations civiles se rattachant a l'objet social.",68.20B
485,"Conseils et services à destination des restaurants et des professionnels des métiers de la restauration pour la création, la restructuration de concepts de restaurants ou de bars, la réalisation d'audit, conseils en cuisine, organisation, équipements et décoration, conseils en marketing, communication recrutement, recherches des fournisseurs et partenaires.",82.99Z
486,"L'activité de sécurité privée par la surveillance et le gardiennage des biens, des personnes, meubles, immeubles, lieux publics ou privés en utilisant des moyens humains et électroniques",80.10Z
487,Le commerce par tous moyens d'objets d'histoire ainsi que de services,47.78C
488,Fabrication achat et vente de tous cotons ou autres matières hydrophiles teints ou non cordes pour pansements ou autres usages de cotons à nitrer de ouates Facees ou non pour toutes utilisations la fabrication le conditionnement le stockage la vente la commercialisation et la distribution de tous dispositifs médicaux se rattachant directement à l'objet de la société l'activité financière de sous centralisation du cash-Pooling pour des sociétés adhérentes de diverses divisions du groupe,46.76Z
489,"L'exercice de toutes activités de marchand de biens, de promotion immobilière - la détention par voie d'achat ou autrement et le contrôle de toute participation dans d'autres sociétés",68.10Z
490,Édition de magazines Web a contenus éditoriaux,58.14Z
491,"Acquisition, propriété, administration, gestion et cession de tous titres, parts sociales, obligations et autres valeurs mobilières. Acquisition, propriété, mise en valeur, transformation, construction, aménagement, administration et location et a titre exceptionnel, vente de tous biens et droits immobiliers ou parts de sociétés civiles.",68.20B
492,"Acquisition, gestion, location de tous biens et droits immobiliers.",68.20B
493,"Acquisition par voie d'achat ou d'apport, propriété, mise en valeur, transformation, construction, aménagement, administration, gestion sous toutes ses formes et notamment mise à disposition gratuite à un ou plusieurs associés ou à un tiers ainsi que la location, de tous biens et droits immobiliers.",68.20B
494,Formation audit gestion domiciliation administration conseil.,82.99Z
495,"Mise en relation et prestation de service, E-commerce, autres services de réservation et activités connexes.",82.99Z
496,"Acquisition d'immeubles, gestion et exploitation par bail.",68.20B
497,Garage automobile mécanique carrosserie peinture vente de véhicules d'occasion et de pièces détachées.,45.20A
498,Achats reventes de chaussures/vêtements,47.91B
499,"Achat vente de vêtements, accessoires de mode, chaussures et lots en tous genres",APE Non Diffusable
500,Coursier à vélo,53.20Z
501,"Coaching, formation, Commerce de détail sur internet, vente à distance",70.22Z
502,Services des agents de securité et vigiles indépendants,80.10Z
503,Livraison de repas à domicile à vélo,56.10C
504,"La réalisation de travaux du bâtiment, tous corps d'état. Entreprise générale de construction de maisons individuelles et/ou préfabriquées",41.20A
505,"La vente en gros, demi gros et en détail de fruits et légumes, épiceries et produits laitiers, et tous autres produits",46.31Z
506,"Pizzeria, restauration rapide avec ventes sur place, à emporter et livraison à domicile, avec ventes de boissons sans alcools",56.10C
507,"La création, l'acquisition, la location, la prise en location-gérance de tous fonds de commerce, la prise à bail, l'installation, l'exploitation de tous établissements, fonds de commerce, usines, ateliers",68.20B
508,non renseigné,70.10Z
509,"Achats, ventes confection, Import, Export de tout type de vêtement et autres accessoires de mode",46.42Z
510,"Propriété, gestion, administration et disposition des biens dont elle pourrait devenir propriétaire, par voie d'acquisition, échange, apport ou autrement, tous placements, sous toutes formes",68.20B
511,Location gestion et administration de biens immobiliers industriels équipes. L'acquisition de tout bien et toute activité ayant un lien direct ou indirect avec l'objet défini ci-dessus.,68.20B
512,"Tous calorifuges thermiques et frigorifiques, flocage, maçonnerie et plomberie",43.22B
513,Toutes opérations immobilières consistant en la prise a bail sous quelque forme que ce soit acquisition de tous biens immobiliers mise en location Desdits biens et plus spécialement prise en crédit bail des biens et droits immobiliers dépendant D un immeuble sis a Creteil 94 centre commercial du palais pour une durée de 99 ans vente en totalité ou par fractions des immeubles construits,68.20A
514,Transports de voyageurs et de marchandises,49.39B
515,Boulangerie pâtisserie biscuiterie traiteur viennoiserie et épicerie.,10.71C
516,Courtage en assurance,66.22Z
517,Vente à distance,47.91A
518,Coursier à vélo,53.20Z
519,Nettoyage courant des bâtiments. Tonte de tout type de terrains. Débroussaillage. Ramassage de feuilles.,81.21Z
520,Vente et fabrication de biscuits sur foires et marchés. Traiteur et cuisinier à domicile,APE Non Diffusable
521,"Élagueur, grimpeur",01.11Z
522,Livraison à vélo,53.20Z
523,Vente d'agrumes aux professionnels (fruits) vente de plants.,47.99A
524,"Livraison à vélo de repas, plis et colis.",APE Non Diffusable
525,Accompagnement de propriétaires dans la gestion locative saisonnière. Home sitting. Gestion administrative entreprise.,APE Non Diffusable
526,Livraison à vélo,APE Non Diffusable
527,Livreur à domicile,53.20Z
528,"Souscription, acquisition, détention durable, gestion sur le moyen ou long terme et vente, de tous titres de participations ou autres valeurs mobilières, donnant accès tant immédiatement qu'à terme au capital de la société émettrice et permettant le cas échéant d'exercer le contrôle de la société émettrice ainsi que de participer activement à la conduite et à la direction de la politique de son groupe.",66.30Z
529,"L'aquisition, la propriete, la gestion, la location meublée d'un immeuble consistant en un chalet à usage d'habitation, sis à Bolquère - Pyrénées 2000,33 avenue du Grand Termanal.",68.20A
530,"L'acquisition, la prise de participation, la gestion et la cession de tous titres, valeurs mobilières, participations financières, dans toutes affaires, entreprises, sociétés commerciales, industrielles, financières, mobilières ou immobilières, ainsi que l'exercice de tous les droits attachés à ces participations et valeurs mobilières",68.32A
531,"Prestation de services de triage de l'ail, conditionnement, activité maraichère, cueillette de fruits",01.61Z
532,"La programmation informatique pour le compte de tiers (développement de sites internets, logiciels, etc) ; conseil en développement et stratégie digitale ; activités de formation au développement informatique",62.01Z
533,"Acquisition, apport, propriété, mise en valeur, transformation, construction, administration, location et la vente (exceptionnelle) de tous biens et droits immobiliers.",68.20B
534,"La fabrication et vente de bières artisanales, la fabrication et vente de boissons artisanales, l'achat et la vente de produits alimentaires, la participation et l'organisation de tout évènement public, privé ou associatif tels que spectacles, concerts, fêtes, conventions, séminaires, festivals, étude, recherches et développement de tout procédé de fabrication dans le domaine brassicole.",11.05Z
535,"Acquisition de biens immobiliers, administration et exploitation par bail, location ou autrement desdits immeubles ou de tous autres immeubles bâtis dont elle pourrait devenir propriétaire par voie d'échange, d'apport ou autrement",68.20B
536,Acquisition et location de biens immobliers.,68.20A
537,"Services sur internet, gestion de site internet, services à domicile, vente de supports, conseil.",62.01Z
538,"La société a pour objet la propriété, la mise en valeur, l'administration, la gestion et le financement d'opération de biens immobiliers et valeurs mobilières",68.20B
539,"L'acquisition, l'administration, la gestion par location ou autrement de tous immeubles et biens immobiliers la vente de tous immeubles et biens immobiliers.",68.20B
540,"L'acquisition par voie d'achat ou d'apport, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration, la location de tous biens et droits immobiliers, l'administration et la gestion du patrimoine social.",68.20B
541,"Acquisition, gestion et exploitation par bail, location ou autrement, de tous biens ou droits immobiliers et vente (à titre exceptionnel) de ces mêmes biens.",68.20B
542,"Acquisition, prise à bail mise en valeur de tous terrains et édification sur lesdits terrains de bâtiments à usage commercial professionnel et accessoirement d'habitation construction ou achat de tous biens immobiliers et mobiliers propriété administration et exploitation par bail ou location de biens immobiliers acquis ou édifiés par la société conclusion de tous contrats de crédit-bail immobilier ou prise en location longue durée avec ou sans option d'achat signature tous actes en vue de l'acquisition des terrains et l'édification d'immeubles sur lesdits terrains. Eventuellement la revente des ensembles immobiliers acquis ou édifiés par elle. La construction de toutes garanties pouvant faciliter l'acquisition, l'édification et l'exploitation des immeubles commerciaux ou la souscription de parts des sociétés civiles immobilières.",68.20B
543,Mise en commun de moyen utile à l'activité professionnelle.,66.19A
544,"L'acquisition, la détention, de tous biens et droits réels immobiliers, la construction de tout immeuble ou bien immobilier, l'administration et la gestion du patrimoine social notamment par la conclusion tous baux ou toutes autres conventions onéreuse ou gratuite.",68.20B
545,"Travaux d'installation et de réparation électrique dans tous locaux, courant fort et/ou courant faible et toutes sortes de réparations et d'opérations connexes et complémentaires se rapportant à cet objet.",43.21A
546,non renseigné,70.10Z
547,"Vente de fromages, produits à base d'olives.",46.90Z
548,Achat et vente de palettes en bois d'occasion.,46.73A
549,Maçonnerie achat revente de matériaux,43.99C
550,"E-commerce, vente de produit à distance sur catalogue",47.91A
551,Livreur de repas à domicile (non motorisé),53.20Z
552,"Petits travaux de jardinage, maintenance, entretien de résidences principales et secondaires",81.21Z
553,Description et chiffrage des réalisations d'un ouvrage donné. Conseille et assistance du maître d'oeuvre.,74.90A
554,"Edition audiovisuelle, Production audiovisuelle",59.11A
555,L'exploitation et la location d'immeubles de toute nature et notamment Preofessionnels,68.20B
556,"L'activité de holding, la gestion, l'administration, la direction, l'exercice de mandats sociaux dans toutes sociétés, toutes prestations de services",82.11Z
557,"Métallerie, Serrurerie, Agencement intérieur extérieur, fabrication de meubles.",43.32B
558,Notaire,69.10Z
559,"Acquisition, vente, administration et gestion par location ou autrement de tous immeubles, biens immobiliers et biens meubles",68.20B
560,"Traiteur, sur place ou à emporter ou par l'intermédiaire de distributeurs automatiques. Fabrication de plats en vue de leur vente.",56.21Z
561,non renseigné,70.10Z
562,"L'aide à la gestion et la réalisation de prestations de services administratives comptables informatiques techniques, financières, au profit de ses filiales",64.20Z
563,Acquisition d'un immeuble et l'exploitation par bail location ou autrement,68.20B
564,"Exploitation de fonds de commerce de snack, vente a emporter (fabrication préparation a partir de produits frais), traiteur, organisation et animation d'événements, restauration itinérante et nomade, foires marches expositions, chef a domicile, cours de cuisine, vente de souvenirs, cadeaux, Pdts du terroir, articles touristiques.",56.10C
565,"Épicerie: achat et vente de tous produit alimentaire;achat et vente de boissons avec/ou sans alcool, notamment des spiritueux;achat et vente de produits d'hygiène et de produits cosmétiques,achat,vente,location de produits décoratifs;achat et vente d'huiles essentielles",47.11B
566,"L'acquisition par voie d'achat ou d'apport ou autrement, la propriété, la mise en valeur, la transformation, la construction, l'aménagement, l'administration et la location de tous biens et droits immobiliers et mobiliers en pleine propriété, nu-propriété, usufruit de tous droits et supports de placements financiers, tels que valeurs mobilières, contrats de capitalisation, de tous biens et droits pouvant en Constituer l'accessoire l'annexe ou le complément des biens et droits immobiliers",68.20B
567,"L'acquisition, par voie d'achat, d'apport ou autrement, la détention, l'administration, la restauration et/ou la construction de tous immeubles bâtis et/ou non bâtis, leur mise à disposition au bénéfice de tout ou partie des associés et/ou leur mise en location",68.20A
568,"Le transport routier de marchandises de toute nature, la location de véhicules avec ou sans chauffeurs, les transports spécialisés et notamment les convois exceptionnels, l'exploitation de toutes licences de transport, la logistique et l'exploitation de tout dépôt ou plate-forme de stockage de marchandises, le négoce de matériels de transport ou de tous produits s'y rapportant",49.41A
569,Commerce alimentaire ambulant,47.81Z
570,"maçonnerie, couverture, carrelage, plâtrerie",43.99C
571,Achat-Vente de produits cosmétiques,46.45Z
572,Chambre d'hôte avec prestations para hôtelières,55.20Z
573,"Décapage tous matériaux, achat-vente de matériels.",81.29B
574,Livraison de repas et marchandises à vélo.,53.20Z
575,Livraison de repas à domicile à vélo,APE Non Diffusable
576,Brocante sur internet.,47.91A
577,Gestion et acquisition de biens immobiliers,68.20B
