,activite,code_ape
86,"Restauration traditionnelle et rapide (sans vente de boissons alcoolisées), brasserie, traiteur, plats à emporter et tous types d'activités liées à la restauration (vente sur marchés)",56.10A
87,"Édition et publication de services informatiques mettant en relation des professionnels avec des particuliers ou professionnels pour la collecte de stocks de Tlc (textile d'habillement, linges et chaussures)",63.11Z
88,"L'acquisition et la gestion de valeurs mobilières ou parts sociales et de tous autres instruments ou produits financiers, en pleine propriété, en usufruit ou en nue-propriété, côtés ou non côtés en bourse, français ou étranger.",66.30Z
89,"L'achat, la propriété, la construction et la vente de tous biens immeubles bâtis ou non et leur exploitation directe ou indirecte",68.20B
90,"La prise de participation, l'acquisition, la gestion et la vente de valeurs mobilières et parts d'intérêts dans toutes sociétés et entreprises. Activités liées à la direction de société, réalisation de prestations de services",82.11Z
91,non renseigné,70.10Z
92,"L'acquisition et la gestion de valeurs mobilières ou parts sociales et de tous autres instruments ou produits financiers, en pleine propriété, en usufruit ou en nue-propriété, côtés ou non côtés en bourse, français ou étranger.",66.30Z
93,"La propriété, l'administration et l'exploitation par bail, location ou autrement et exceptionnellement la vente de tous biens immobiliers bâtis ou non bâtis.",68.20B
94,Tapissier et décorateur d'ameublement couture d'ameublement menuiserie agencements intérieurs et extérieurs ossature bois ébénisterie,31.09B
95,"Bar, brasserie, glacier, débit de boissons et toutes activités s'y rapportant.",70.10Z
96,Livraison de repas a domicile à vélo,53.20Z
97,Apporteur d'affaires dans le bâtiment,82.99Z
98,Achat vente au détail de produits non alimentaires,47.19B
99,"La prise de tous intérêts et participations par tous moyens : apports, souscriptions, achats d'actions, d'obligations et de tous droits sociaux, dans toute société commerciale ou civile, affaire ou entreprise. L'acquisition, la propriété, la gestion, la cession de tout compte d'instrument financier, contrat de capitalisation, parts de fonds commun de placement, parts de fonds commun de placement, parts de fonds professionnel de capital investissement, et de tout placement financier.",66.30Z
100,"Agence immobilière transaction immobilière et commerciale, location meublée et vide, gestion locative, conciergerie immobilière, syndic. En france et à l'étranger",APE Non Diffusable
101,"Vente de marchandises diverses alimentaires et non alimentaires sur marchés, jardinage, élagage",47.89Z
102,Achat vente de véhicule d'occasion achats revente de véhicules légers ne Dépasant pas 3t5 utilitaires et de tourisme achat revente de pièces détachées automobile.,45.11Z
103,Commerce de voitures et de véhicules automobiles commerce d'équipements automobiles nettoyage automobile,45.11Z
104,Livraison de repas par véhicule non motorisé,53.20Z
105,non renseigné,70.10Z
106,non renseigné,70.10Z
107,non renseigné,70.10Z
108,non renseigné,70.10Z
109,"Pose et installation d'isolation thermique et acoustique par soufflage isolation thermique par intérieur, isolation thermique par extérieur (technicité courante) Vmc Calorifugeage, pose et installation de pompe a chaleur, génie climatique, chauffage chaudière,négoce en produit Btp",43.29A
110,"Restauration sur place ou à emporter, bar licence IV, pizzérai",56.10A
111,Livraison de repas à domicile à vélo.,APE Non Diffusable
112,Agent général d'assurances et courtier en assurances.,66.22Z
113,"Entreprise de travaux agricoles, location de matériel sans chauffeur, réalisation de prestations avec le matériel du client.",01.61Z
114,"Souscription, acquisition de tous titres sociaux et de toutes participations; gestion du portefeuille des titres sociaux et participations et leur éventuelle aliénation. Toutes prestations de gestion et de services au profit de ses filiales ou entreprises alliées.",64.20Z
115,"L'achat, revente de plants de pommes de terre et plus généralement l'activité commerciale de négoce. Production et commercialisation d'énergie photovoltaïque.",47.91B
116,La location de courte durée et achat-revente de véhicules automobiles. La vente de tout matériel et équipement. Le conseil aux entreprises.,77.11A
117,"Propriété et gestion, à titre civil, de l'immeuble sis à Morsalines (Manche), au Rivage, cadastré Sect.A, N°068, 632 et 633. L'entretien et la gestion du chemin desservant, à partir de la route N°216E3, l'immeuble sus désigné.",68.20B
118,"Acquisition, administration et exploitation par bail, location ou autrement, de tous immeubles bâtis ou non",68.20B
