,siren,departement,date_publication,activite_déclarée,code_ape,activte_insee,code_postal
371,892472275,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
372,892472333,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
373,892472358,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
374,892472408,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les Dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
375,892472440,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les Dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
376,892472473,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les Dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
377,892472515,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les Dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
378,892472531,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
379,892472572,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
380,892472606,75,2021-01-08,"L'acquisition, la location et l'exploitation, directe ou indirecte, de tous matériels destinés à des entreprises situées dans les dom-Com, entrant notamment dans le cadre des activités régies par l'article 199 Undecies B du Cgi.",77.39Z,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",75008
